CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
88514.81,623,CPE,SPRABERRY LOWER,4473,1951,49
122026.58,624,CPE,SPRABERRY LOWER,4473,1808,49
83405.44,625,CPE,SPRABERRY LOWER,4623,1909,50
86308.52,626,CPE,SPRABERRY LOWER,4556,1951,57
114757.32,627,CPE,SPRABERRY LOWER,4671,1463,46
108015.56,628,CPE,SPRABERRY LOWER,4907,1516,48
105844.62,629,CPE,SPRABERRY LOWER,4675,1408,45
123821.96,630,CPE,SPRABERRY LOWER,5019,1923,73
79166.1399999999,631,CPE,WOLFCAMP B,4656,1475,39
119128.85,632,CPE,SPRABERRY LOWER,5055,1909,75
96649.03,633,CPE,WOLFCAMP A,4981,1906,64
51103,634,SURGE,WOLFCAMP A,7314,1476,34
105830,635,OVV,WOLFCAMP A,6939,2035,37
82528.9921875,637,LARIO,WOLFCAMP A,5092,1339,30
91083.8203125,639,APA,WOLFCAMP B,4745,1617,50
102538.03125,640,APA,WOLFCAMP B,4748,1628,50
92873.703125,641,APA,WOLFCAMP B,4748,1627,50
91399.640625,642,APA,WOLFCAMP B,4742,1628,51
103115.65625,643,APA,WOLFCAMP B,5066,1642,51
87361.96875,644,APA,WOLFCAMP B,5078,1639,51
78527.609375,645,APA,WOLFCAMP B,4959,1212,29
62760.203125,646,APA,WOLFCAMP B,4730,3223,46
119112.109375,647,APA,WOLFCAMP B,5027,2993,48
69080.4765625,648,APA,WOLFCAMP A,5064,2987,48
56779.26953125,649,APA,WOLFCAMP B,5026,2032,40
30427.072265625,650,APA,WOLFCAMP A,4914,2081,41
83590,660,PRIME,WOLFCAMP B,5755,2966,21
93420,661,PRIME,WOLFCAMP B,7261,3011,21
113746,662,PRIME,WOLFCAMP B,7603,2586,17
118123,663,PRIME,WOLFCAMP A,7648,2613,18
181397,664,PRIME,WOLFCAMP B,7636,1645,47
120678.0234375,665,APA,WOLFCAMP B,7785,1676,54
156625.96875,666,APA,WOLFCAMP B,7729,1661,44
83963.796875,667,APA,WOLFCAMP B,7772,1019,24
152915.203125,668,APA,WOLFCAMP B,7745,1018,23
125271.53125,669,APA,WOLFCAMP B,7683,1022,25
127549.109375,670,APA,WOLFCAMP B,7767,1659,50
145066.21875,671,APA,WOLFCAMP B,7775,1661,50
157819.46875,672,APA,WOLFCAMP B,7764,1660,50
111578.234375,673,APA,WOLFCAMP B,7770,1693,50
198042.765625,674,APA,WOLFCAMP B,7770,1643,50
81163,675,APA,WOLFCAMP B,4899,2894,27
89219,676,APA,WOLFCAMP B,5069,2914,24
146033,677,APA,WOLFCAMP B,5054,2442,73
95160,678,APA,WOLFCAMP B,5055,2407,75
110086,679,APA,WOLFCAMP B,5106,1841,51
49954.4296875,680,APA,WOLFCAMP B,4988,2905,16
83886.5703125,681,APA,WOLFCAMP B,5211,1185,11
60719.08203125,682,CAMBRIAN,WOLFCAMP B,4954,1431,38
37826.8359375,683,FANG,WOLFCAMP B,4980,1305,46
44164.015625,684,FANG,WOLFCAMP A,7112,362,15
65384.1640625,686,ESTE,WOLFCAMP B,5925,1333,34
46269.578125,687,ESTE,WOLFCAMP A,6047,1417,38
102266.5078125,688,ESTE,WOLFCAMP A,6774,1651,40
59078.5,689,ESTE,WOLFCAMP B,6635,1811,38
63019.72265625,690,ESTE,WOLFCAMP B,6773,1627,39
101630,706,SABLE,WOLFCAMP A,7617,1404,25
163972,711,PXD,WOLFCAMP B,7202,2624,69
184724,712,PXD,WOLFCAMP B,7202,2626,69
170132,713,PXD,WOLFCAMP B,7322,2542,67
138989,714,PXD,WOLFCAMP C,7202,2457,71
145145,715,PXD,WOLFCAMP B,7202,2512,73
104053.2265625,730,SURGE,WOLFCAMP A,7401,1247,36
108869.4609375,731,SURGE,SPRABERRY LOWER,6922,1651,38
71784.6328125,732,SURGE,WOLFCAMP A,7201,1249,35
68070.8359375,733,SURGE,SPRABERRY LOWER,7028,1363,37
83911,734,SURGE,SPRABERRY LOWER,6792,1874,33
85222.0078125,735,SURGE,WOLFCAMP A,7090,1127,27
58846.56640625,736,SURGE,SPRABERRY LOWER,6788,1853,32
146072.359375,737,SURGE,WOLFCAMP A,6944,1995,41
81550,738,SURGE,WOLFCAMP A,7077,2071,45
107884.890625,739,SURGE,WOLFCAMP A,7081,2063,45
108699.4921875,740,SURGE,WOLFCAMP A,6751,2038,90
43828.75,741,APA,WOLFCAMP A,4259,1687,25
17270.3515625,745,APA,WOLFCAMP C,3776,929,26
14246.62890625,746,APA,WOLFCAMP B,3748,2057,23
155922.921875,755,CVX,WOLFCAMP B,7682,1645,41
120194.2578125,756,CVX,WOLFCAMP A,7650,1752,61
232126.15625,757,CVX,WOLFCAMP B,7082,1695,59
149440.671875,758,CVX,WOLFCAMP A,7669,1676,60
133122,759,CVX,WOLFCAMP B,7569,1711,59
14468,775,SABLE,WOLFCAMP A,4888,1464,19
