CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
144039.625,1324,FASKEN,SPRABERRY MIDDLE,10476,1166,42
179595.6875,1325,FASKEN,SPRABERRY LOWER,10612,1362,48
171901.296875,1326,FASKEN,WOLFCAMP B,9901,833,37
131430.65625,1328,FASKEN,SPRABERRY LOWER,9992,1483,52
118900.0078125,1338,COP,SPRABERRY LOWER,9968,1475,38
260484.27,1339,SM,WOLFCAMP A,10307,1889,60
261027.2,1340,SM,WOLFCAMP A,10330,1889,60
289069.17,1341,SM,WOLFCAMP A,10118,1885,52
247730.015625,1344,CRWNQST,SPRABERRY LOWER,10247,1805,45
135137.03125,1346,CRWNQST,SPRABERRY MIDDLE,10262,1737,44
172746.265625,1347,CRWNQST,SPRABERRY LOWER,10207,1791,44
122183,1348,CRWNQST,SPRABERRY MIDDLE,10201,1632,44
129908.5078125,1356,PXD,SPRABERRY LOWER,10096,1366,41
138927.5625,1357,PXD,SPRABERRY LOWER,10030,1371,41
83696.546875,1360,SM,WOLFCAMP A,10282,1851,57
137283.71875,1361,SM,WOLFCAMP B,10287,1891,59
157261.375,1362,SM,SPRABERRY LOWER,10387,1862,51
209331.625,1363,SM,WOLFCAMP A,10387,1863,52
158064.546875,1368,CRWNQST,WOLFCAMP B,9930,2102,56
155495.421875,1369,CRWNQST,WOLFCAMP B,10167,2086,58
152300.1875,1370,CRWNQST,WOLFCAMP B,10083,2107,56
248692.515625,1371,CRWNQST,WOLFCAMP A,12212,1997,48
255262.375,1372,CRWNQST,WOLFCAMP B,12170,1987,48
195187.109375,1373,CRWNQST,WOLFCAMP B,12149,1862,49
330234.28125,1374,CRWNQST,WOLFCAMP A,12202,1927,48
183558,1375,CRWNQST,WOLFCAMP B,12142,1935,49
302101,1376,CRWNQST,WOLFCAMP B,12220,1993,50
187248.171875,1392,XOM,WOLFCAMP B,10338,1713,60
128601.75,1393,XOM,WOLFCAMP B,10322,1710,60
158156.109375,1394,XOM,WOLFCAMP B,10338,1706,61
162840.296875,1395,XOM,WOLFCAMP A,10352,1709,59
85721.1953125,1396,XOM,WOLFCAMP A,10355,1711,60
203153.828125,1397,XOM,WOLFCAMP A,10346,1701,60
88808.6875,1398,XOM,WOLFCAMP A,10345,1709,60
190353.71875,1399,XOM,WOLFCAMP C,10313,1930,70
169860,1421,LPI,WOLFCAMP A,10672,1828,56
127010.9921875,1425,LPI,WOLFCAMP B,10820,1811,55
